Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,378,375,0.5095117792719122,0.522645603162398,1.0,1.0,0.03750363522390332,0.6214623355488156,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,378,215,0.6408847848786343,0.6319231530774303,1.0,1.0,0.051232118014245875,0.7022684814298962,False,True,True,22.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,378,215,0.6409420689231718,0.6305909105448966,1.0,1.0,0.049141243926654865,0.7017252424675819,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,378,25,-0.628039750995793,0.6234150977203579,1.0,1.0,0.021669031669634076,0.6965412308580609,False,True,True,29.0,selected
diff__seed__strength,selection_committee_prior,0.0,378,25,0.628039750995793,0.6234150977203579,1.0,1.0,0.021669031669634076,0.6965412308580609,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,378,358,0.591331778458304,0.5845597038279582,1.0,1.0,0.048739460740302665,0.6687320706686347,False,True,True,2.0,selected
diff__seed__top4,selection_committee_prior,0.0,378,3,0.5477826016220518,0.5819963070479157,1.0,1.0,0.07189804868012417,0.656994477792646,False,True,True,30.0,selected
diff__compact__half_pointsformean_first,compact_performance,0.0,378,354,0.5495156894242063,0.5665978241783185,1.0,1.0,0.025857181112958094,0.6518261200343999,False,True,True,3.0,selected
diff__compact__margin_q90,compact_performance,0.0,378,268,0.5479975661935879,0.5446530095649003,1.0,1.0,0.0611706472936987,0.6395460832619935,False,True,True,4.0,selected
diff__seed__top8,selection_committee_prior,0.0,378,3,0.5241810996786691,0.5292294204678218,1.0,1.0,0.06301790340166186,0.6268292476177951,False,True,True,31.0,selected
diff__compact__upside_tail_mean,compact_performance,0.0,378,374,0.5192621578355296,0.5205005811910349,1.0,1.0,0.03892099202495031,0.6225211140145153,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_mean,compact_performance,0.0,378,375,0.5095117792719122,0.522645603162398,1.0,1.0,0.03750363522390332,0.6214623355488156,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_winsor02,compact_performance,0.0,378,378,0.5061427830428408,0.5166102723275254,1.0,1.0,0.037920601525303854,0.617807518925625,False,True,False,,correlation_pruned_or_cap
diff__compact__home_margin_mean,compact_performance,0.037037037037037035,364,361,0.516076860899188,0.5061571060612828,1.0,1.0,0.08514158998034421,0.6101236937450604,False,True,True,5.0,selected
diff__compact__points_for_mean,compact_performance,0.0,378,373,0.4724280260072146,0.5018688189843761,1.0,1.0,0.04689480501534887,0.6029554066334738,False,True,True,6.0,selected
diff__compact__margin_q75,compact_performance,0.0,378,154,0.4974929424196721,0.4872636404223668,1.0,1.0,0.024208753053747922,0.602366644612914,False,True,True,7.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,378,165,0.49129434062963995,0.49027815099907196,1.0,1.0,0.051616319056299154,0.6013536146558234,False,True,True,8.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,378,328,0.47644419215252837,0.4657642472281964,1.0,1.0,0.03943581877281449,0.586807128192178,False,True,True,9.0,selected
diff__compact__pythag_exp8p0,compact_performance,0.0,378,378,0.46623528438834727,0.46846066590405727,1.0,1.0,0.0251988532183548,0.5864249280706496,False,True,True,10.0,selected
diff__compact__pythag_exp10p0,compact_performance,0.0,378,378,0.44927806597736225,0.45065825015756333,1.0,1.0,0.030169737435932598,0.5739503450932127,False,True,False,,correlation_pruned_or_cap
diff__compact__ewm_h20_margin,compact_performance,0.0,378,378,0.45541502604124867,0.45017173255963594,1.0,1.0,0.06253746326123488,0.5737722388272506,False,True,True,11.0,selected
diff__compact__pythag_exp11p5,compact_performance,0.0,378,378,0.4362136712480749,0.43840371195839456,1.0,1.0,0.035431226361178014,0.5649835403601587,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_q25,compact_performance,0.0,378,167,0.4104790376980571,0.4501430370875869,1.0,1.0,0.0671605208777194,0.5636876252605055,False,True,True,12.0,selected
diff__compact__margin_median,compact_performance,0.0,378,90,0.43827447335109293,0.4313724508671093,1.0,1.0,0.03785392806023391,0.5619650034310436,False,True,True,13.0,selected
diff__compact__ewm_h10_margin,compact_performance,0.0,378,378,0.4141534814487548,0.4358787908170626,1.0,1.0,0.06909954673688457,0.5575716036414408,False,True,True,14.0,selected
diff__compact__wins,compact_performance,0.0,378,33,0.41046005485314085,0.4280104515055155,1.0,1.0,0.05065634852842299,0.5537199748492015,False,True,True,15.0,selected
diff__compact__blowout_win10_rate,compact_performance,0.0,378,312,0.4235604512899356,0.42264058418937944,1.0,1.0,0.08288883616043302,0.5527352262482707,False,True,True,16.0,selected
diff__compact__pythag_exp13p91,compact_performance,0.0,378,378,0.4154395947727733,0.41971709568814386,1.0,1.0,0.04314712253346609,0.5511350318789805,False,True,True,17.0,selected
diff__compact__ewm_h20_points_for,compact_performance,0.0,378,378,0.41190705420346146,0.4099883938435872,1.0,1.0,0.04731712164547208,0.5455212961038646,False,True,True,18.0,selected
diff__compact__rest_days_mean,compact_performance,0.0,378,277,-0.378459310226856,0.4176174081702615,1.0,1.0,0.03616706494471289,0.5422707215738454,False,True,True,19.0,selected
diff__compact__win_pct,compact_performance,0.0,378,304,0.3855663703139655,0.41076004283750234,1.0,1.0,0.012708415802427542,0.5414810853989763,False,True,True,20.0,selected
diff__compact__ewm_h10_points_for,compact_performance,0.0,378,378,0.3938156066667,0.40887805167435654,1.0,1.0,0.08404456449848674,0.5395391156904257,False,True,True,21.0,selected
diff__compact__away_margin_mean,compact_performance,0.0,378,372,0.37986174779383775,0.4094403479503897,1.0,1.0,0.06108949854590767,0.5376573715889951,False,True,True,35.0,selected
diff__compact__losses,compact_performance,0.0,378,30,-0.37883758418260643,0.3984615838039248,1.0,1.0,0.008435849336459411,0.5342683947725989,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_q10,compact_performance,0.0,378,250,0.38211278177080116,0.39975476398201715,1.0,1.0,0.04389040783652132,0.5341914823874836,False,True,True,36.0,selected
