Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,378,337,0.5291461461857448,0.5387524320393915,1.0,1.0,0.049285266333775835,0.6330419088864208,True,True,True,3.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,378,280,0.5308166016259741,0.5313944458297971,1.0,1.0,0.030669782695494696,0.6306221950481972,True,True,True,1.0,selected
diff__compact__margin_trim02,compact_performance,0.0,378,375,0.5095117792719122,0.522645603162398,1.0,1.0,0.03750363522390332,0.6214623355488156,True,True,True,2.0,selected
diff__norm__adj__net_rtg_a50p0__pct,within_season_normalization,0.0,378,284,0.4638837048935825,0.4614687945176096,1.0,1.0,0.03245718906105449,0.5822611488825985,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,378,378,0.6483379915581398,0.6527583186505757,1.0,1.0,0.04557322231583183,0.7141354222024338,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,378,378,0.6480734161405143,0.6527583180400498,1.0,1.0,0.0455732242539888,0.7140772152399775,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,378,215,0.6408847848786343,0.6319231530774303,1.0,1.0,0.051232118014245875,0.7022684814298962,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,378,215,0.6409420689231718,0.6305909105448966,1.0,1.0,0.049141243926654865,0.7017252424675819,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,378,25,-0.628039750995793,0.6234150977203579,1.0,1.0,0.021669031669634076,0.6965412308580609,False,True,False,,correlation_pruned_or_cap
diff__seed__strength,selection_committee_prior,0.0,378,25,0.628039750995793,0.6234150977203579,1.0,1.0,0.021669031669634076,0.6965412308580609,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,378,378,0.6171731861035559,0.6201763985894566,1.0,1.0,0.048537836420742275,0.6915212588088918,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,378,378,0.6166964186487703,0.6201763988552096,1.0,1.0,0.048537838229260166,0.6914163700240596,False,True,True,5.0,selected
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,378,378,0.6166964186487703,0.6201763988552096,1.0,1.0,0.048537838229260166,0.6914163700240596,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,378,378,0.613910667746198,0.6169172838354142,1.0,1.0,0.04845832780032544,0.6892423100331494,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,378,378,0.602000752052453,0.6140901412023735,1.0,1.0,0.040709374274619625,0.6855750582576942,False,True,True,6.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,378,378,0.602000752052453,0.6140901412023735,1.0,1.0,0.040709374274619625,0.6855750582576942,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,378,378,0.6015591635489406,0.6140901384478807,1.0,1.0,0.04070937223825721,0.6854779075462194,False,True,False,,correlation_pruned_or_cap
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,378,378,0.6099713570494372,0.6093178074901946,1.0,1.0,0.04597997403096654,0.6848270471849309,False,True,True,7.0,selected
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,378,378,0.5956789448185246,0.6151306741989508,1.0,1.0,0.038378689278872447,0.6847769439044169,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,378,378,0.5956789448185246,0.6151306741989508,1.0,1.0,0.038378689278872447,0.6847769439044169,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,378,378,0.5953285162795234,0.6151306754744706,1.0,1.0,0.038378687223389885,0.6846998503203054,False,True,False,,correlation_pruned_or_cap
diff__rating__elo_mov_log,dynamic_ratings,0.0,378,378,0.600498694677422,0.6113839604254485,1.0,1.0,0.05925539733128893,0.6832037979399965,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,378,378,0.6004207450599003,0.6113839628335428,1.0,1.0,0.05925539472765273,0.6831866502841725,False,False,False,,below_bounded_prescreen
diff__rating__elo_mov_538,dynamic_ratings,0.0,378,378,0.60014770264562,0.6111187974687402,1.0,1.0,0.05837432903961348,0.6830345442054472,False,False,False,,below_bounded_prescreen
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,378,378,0.6000678487653678,0.61111879671433,1.0,1.0,0.05837433275636272,0.6830169758410047,False,True,True,8.0,selected
